iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
2811,Chn-ae156111-0d32-4a94-8720-9d7733c99831,Birgus latro,DD,NA,am,39,Maldives,37,NA,5476
3381,Fis-26816,Butis butis,LC,stable,am,39,Maldives,38,NA,5476
4592,Fis-31463,Cheilinus undulatus,EN,decreasing,am,39,Maldives,38,NA,5476
6494,Rep-4381,Dermochelys coriacea,VU,decreasing,am,39,Maldives,337,NA,5476
6814,Fis-53099,Dunckerocampus dactyliophorus,DD,NA,am,39,Maldives,38,NA,5476
8407,Fis-25213,Eurypegasus draconis,DD,NA,am,39,Maldives,38,NA,5476
9266,Fis-152317,Psammogobius biocellatus,LC,stable,am,39,Maldives,38,NA,5476
10070,Fis-31607,Hippocampus histrix,VU,decreasing,am,39,Maldives,38,NA,5476
10074,Fis-130731,Hippocampus jayakari,DD,NA,am,39,Maldives,38,NA,5476
10075,Fis-31608,Hippocampus kuda,VU,decreasing,am,39,Maldives,26,NA,5476
10087,Fis-52583,Hippocampus trimaculatus,VU,decreasing,am,39,Maldives,38,NA,5476
15239,Fis-59241,Oligolepis keiensis,LC,unknown,am,39,Maldives,31,NA,5476
16011,Fis-50720,Favonigobius melanobranchus,NT,NA,am,39,Maldives,38,NA,5476
16012,Fis-17253,Favonigobius reichei,NT,NA,am,39,Maldives,38,NA,5476
16476,Fis-31035,Pegasus volitans,DD,NA,am,39,Maldives,38,NA,5476
20315,Fis-54098,Solegnathus hardwickii,DD,NA,am,39,Maldives,38,NA,5476
22138,W-Msc-207675,Tridacna maxima,VU,NA,am,39,Maldives,38,NA,5476
22140,W-Msc-207674,Tridacna squamosa,VU,NA,am,39,Maldives,38,NA,5476
40715,Fis-25926,Syngnathoides biaculeatus,DD,NA,am,39,Maldives,38,NA,5476
41010,Fis-130734,Hippocampus kelloggi,VU,decreasing,am,39,Maldives,38,NA,5476
41745,Fis-23077,Centrophorus uyato,DD,NA,am,39,Maldives,52,NA,5476
41878,Fis-8339,Stegostoma fasciatum,EN,decreasing,am,39,Maldives,38,NA,5476
44669,Fis-26112,Choerodon schoenleinii,NT,unknown,am,39,Maldives,38,NA,5476
60216,Fis-23075,Centrophorus granulosus,DD,NA,am,39,Maldives,49,NA,5476
61207,Fis-30462,Pellona ditchela,LC,unknown,am,39,Maldives,38,NA,5476
61213,Fis-25473,Oligolepis acutipennis,DD,NA,am,39,Maldives,38,NA,5476
61250,Fis-23614,Lutjanus argentimaculatus,LC,unknown,am,39,Maldives,38,NA,5476
63355,Fis-27605,Hypseleotris cyprinoides,DD,NA,am,39,Maldives,38,NA,5476
133065,W-Oct-207409,Tubipora musica,NT,unknown,am,39,Maldives,43,NA,5476
135567,Fis-29454,Mugil cephalus,LC,stable,am,39,Maldives,38,NA,5476
154613,Fis-32377,Synaphobranchus affinis,LC,stable,am,39,Maldives,113,NA,5476
154615,Fis-34043,Laeops guentheri,LC,unknown,am,39,Maldives,30,NA,5476
154616,Fis-49951,Diaphus diadematus,LC,unknown,am,39,Maldives,337,NA,5476
